PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
3RD AVE,ELIZABETH,15037,Elizabeth Boro  ,Elizabeth Forward,ELIZABETH BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2760,HOM,,02-23-2009,02-23-2009,1.0,LOVE&AFFECTION,02-26-1996,40000.0,16800,17900,34700,0,34800,17900,52700,34800,17900,52700,RANCH,1.0,1960.0,Brick,SHINGLE,Slab/Piers,C-,AVERAGE -,3.0,AVERAGE,FAIR,6.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
OHIO RIVER BLVD,PITTSBURGH,15202,Emsworth  ,Avonworth,EMSWORTH MANOR,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,03-02-2011,03-02-2011,5.0,LOVE&AFFECTION,11-01-1985,41537.0,40900,0,40900,0,40900,0,40900,40900,0,40900,CONDO GRDN,1.0,1984.0,Brick,SHINGLE,None,C-,AVERAGE -,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
ANN ST,PITTSBURGH,15223,Etna  ,Shaler Area,82702,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,4800,,,01-25-2010,01-25-2010,12500.0,OTHER,10-22-2004,1.0,4000,10000,14000,0,4000,10000,14000,4000,10000,14000,OLD STYLE,2.0,1884.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,5.0,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
SYCAMORE ST,PITTSBURGH,15223,Etna  ,Shaler Area,82702,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,1445,,,02-26-2010,02-26-2010,5500.0,OTHER,04-09-2009,1835.0,50600,14800,65400,0,50600,14800,65400,50600,14800,65400,MULTI-FAMILY,2.0,1880.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,FAIR,8.0,3.0,2.0,0.0,Central Heat with AC,0.0,0.0
BRADDOCK RD,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6190,HOM,,09-22-2011,09-22-2011,1.0,LOVE&AFFECTION,09-12-1962,0.0,51400,30300,81700,0,69400,30300,99700,69400,30300,99700,RANCH,1.0,1962.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,3.0,1.0,1.0,Central Heat,0.0,1.0
SHARON DR,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,7116,HOM,,,06-26-1962,0.0,NOT APPLICABLE,,,80000,30200,110200,0,98000,30200,128200,98000,30200,128200,COLONIAL,2.0,1963.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,4.0,1.0,2.0,Central Heat with AC,1.0,1.0
MARION AVE,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,3300,,,,12-11-1987,64000.0,VALID SALE,,,55400,21600,77000,0,55400,21600,77000,55400,21600,77000,MULTI-FAMILY,2.0,1930.0,Brick,ROLL,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,10.0,4.0,2.0,0.0,Central Heat,0.0,0.0
SHARON DR,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,7200,HOM,,,08-15-1967,0.0,NOT APPLICABLE,,,88700,30200,118900,0,106700,30200,136900,106700,30200,136900,COLONIAL,2.0,1960.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,0.0
GREENSBURG PIKE,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6000,HOM,,,03-19-1998,1.0,LOVE&AFFECTION,10-31-1988,0.0,42500,30100,72600,0,60500,30100,90600,60500,30100,90600,COLONIAL,2.0,1941.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,1.0
AVENUE A ,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,4678,,,04-28-2015,04-15-2015,0.0,MULTI-PARCEL SA,09-29-1969,0.0,58800,25200,84000,0,58800,25200,84000,58800,25200,84000,OLD STYLE,2.0,1928.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,1.0,0.0
BARCLAY AVE,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3300,HOM,,,09-26-2002,1.0,LOVE&AFFECTION,08-16-2000,1.0,32300,21600,53900,0,50300,21600,71900,50300,21600,71900,OLD STYLE,2.0,1923.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,1.0
N MONONGAHELA AVE,GLASSPORT,15045,Glassport  ,South Allegheny,GLASSPORT BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3300,,,07-03-2013,07-03-2013,1.0,MULTI-PARCEL SA,12-06-2010,16000.0,30500,11200,41700,0,30500,11200,41700,30500,11200,41700,OLD STYLE,2.0,1906.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,2.0,1.0,0.0,Central Heat,0.0,0.0
LEGRANDE DR,PITTSBURGH,15221,Forest Hills  ,Woodland Hills,FOREST HILLS BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,9554,HOM,,06-25-2013,06-25-2013,109900.0,VALID SALE,09-08-1995,0.0,63500,30400,93900,0,81500,30400,111900,81500,30400,111900,SPLIT LEVEL,1.0,1955.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,8.0,3.0,2.0,0.0,Central Heat with AC,1.0,1.0
OHIO AVE,GLASSPORT,15045,Glassport  ,South Allegheny,GLASSPORT BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2750,HOM,,,06-05-1974,12500.0,VALID SALE,,,28700,7000,35700,0,46700,7000,53700,46700,7000,53700,OLD STYLE,2.0,1910.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,7.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
WASHINGTON BLVD,GLASSPORT,15045,Glassport  ,South Allegheny,GLASSPORT BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,5800,,,,02-18-1953,0.0,NOT APPLICABLE,,,0,1700,1700,0,0,1700,1700,0,1700,1700,,,,,,,,,,,,,,,,,,
ALLEGHENY AVE,GLASSPORT,15045,Glassport  ,South Allegheny,GLASSPORT BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1125,,,,05-25-1990,17500.0,,,,14100,3300,17400,0,14100,3300,17400,14100,3300,17400,SEMI DETACHED,2.0,1930.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
VERMONT AVE,GLASSPORT,15045,Glassport  ,South Allegheny,GLASSPORT BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2750,HOM,,08-01-2006,08-01-2006,57300.0,LOVE&AFFECTION,04-27-2001,40000.0,25000,7000,32000,0,43000,7000,50000,43000,7000,50000,OLD STYLE,2.0,1928.0,Frame,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
KILBUCK ST,SEWICKLEY,15143,Glenfield  ,Quaker Valley,83001,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,7321,,,03-27-2014,03-27-2014,34000.0,MULTI-PARCEL SA,05-17-1952,0.0,23500,8000,31500,0,23500,8000,31500,23500,8000,31500,BUNGALOW,1.0,1932.0,Frame,SHINGLE,Part,D-,BELOW AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
GLENCOE AVE,PITTSBURGH,15205,Greentree  ,Keystone Oaks,83101,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,202772,HOM,,,05-13-1977,28625.0,VALID SALE,,,79700,52500,132200,0,97700,52500,150200,97700,52500,150200,CAPE COD,1.5,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,2.0,0.0,Central Heat with AC,1.0,0.0
EVANDALE DR,PITTSBURGH,15220,Greentree  ,Keystone Oaks,83102,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,20351,HOM,,05-02-2012,05-02-2012,1.0,LOVE&AFFECTION,06-18-1986,128000.0,144700,46500,191200,0,162700,46500,209200,162700,46500,209200,COLONIAL,2.0,1985.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,1.0,Central Heat with AC,0.0,2.0
GREENLAWN DR,PITTSBURGH,15220,Greentree  ,Keystone Oaks,83102,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,7961,,,09-06-2016,03-21-2016,157000.0,OTHER VALID,04-21-2011,158000.0,103400,45300,148700,0,103400,45300,148700,103400,45300,148700,RANCH,1.0,1956.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,1.0,1.0
REED DR,PITTSBURGH,15205,Greentree  ,Keystone Oaks,83103,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,7521,HOM,,,09-26-2000,1.0,LOVE&AFFECTION,10-21-1976,45000.0,74300,35200,109500,0,92300,35200,127500,92300,35200,127500,RANCH,1.0,1950.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,2.0,0.0,Central Heat with AC,1.0,1.0
BRUNSWICK PL,CARNEGIE,15106,Greentree  ,Keystone Oaks,83103,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5000,HOM,,,11-21-1978,39900.0,VALID SALE,,,53800,35000,88800,0,71800,35000,106800,71800,35000,106800,RANCH,1.0,1953.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,1.0,0.0
E 12TH AVE,HOMESTEAD,15120,Homestead  ,Steel Valley,HOMESTEAD BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3300,,,,06-16-1989,1.0,LOVE&AFFECTION,,,27000,3300,30300,0,27000,3300,30300,27000,3300,30300,OLD STYLE,2.0,1926.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,10.0,4.0,2.0,0.0,Central Heat,0.0,0.0
W 11TH AVE,HOMESTEAD,15120,Homestead  ,Steel Valley,HOMESTEAD BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2000,HOM,,,07-14-2000,0.0,LOVE&AFFECTION,01-27-1993,0.0,0,0,0,0,4500,2800,7300,4500,2800,7300,OLD STYLE,2.0,1915.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,8.0,VERY POOR,VERY POOR,6.0,3.0,1.0,1.0,Central Heat,0.0,0.0
SYLVAN AVE,HOMESTEAD,15120,Homestead  ,Steel Valley,HOMESTEAD BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2750,,,,06-29-2000,20000.0,OTHER INVALID,11-20-1958,0.0,32800,3100,35900,0,32800,3100,35900,32800,3100,35900,OLD STYLE,2.0,1923.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
MCCLURE ST,HOMESTEAD,15120,Homestead  ,Steel Valley,HOMESTEAD BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1320,,,10-14-2009,10-14-2009,4250.0,OTHER,01-23-1992,0.0,10300,2500,12800,0,10300,2500,12800,10300,2500,12800,OLD STYLE,2.0,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,5.0,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
CHARLTON ST,PITTSBURGH,15205,Ingram  ,Montour,83502,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6000,HOM,,05-20-2009,05-20-2009,90000.0,VALID SALE,06-01-2000,62000.0,48700,16100,64800,0,66700,16100,82800,66700,16100,82800,RANCH,1.0,1953.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat with AC,0.0,1.0
BROAD ST,LEETSDALE,15056,Leetsdale  ,Quaker Valley,83602,20 - Taxable,REGULAR,RESIDENTIAL,ROWHOUSE,873,,,04-02-2015,03-31-2015,49500.0,VALID SALE,10-28-1959,0.0,65100,7800,72900,0,65100,7800,72900,65100,7800,72900,ROW INTERIOR,2.0,1926.0,Brick,ROLL,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
LIBERTY WAY,MC KEESPORT,15133,Liberty  ,South Allegheny,RURAL,20 - Taxable,REGULAR-ETUX OR ET VIR,COMMERCIAL,APART: 5-19 UNITS,3150,HOM,,,06-16-1989,7000.0,VALID SALE,,,109000,15300,124300,0,127000,15300,142300,127000,15300,142300,,,,,,,,,,,,,,,,,,
A ST,MC KEESPORT,15133,Liberty  ,South Allegheny,LIBERTY BOROUGH,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,9900,,,06-13-2011,06-13-2011,1.0,LOVE&AFFECTION,01-22-2007,79000.0,52300,16400,68700,0,52300,16400,68700,52300,16400,68700,RANCH,1.0,1950.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,1.0,Central Heat with AC,0.0,1.0
ELIZABETH ST,MC KEESPORT,15133,Liberty  ,South Allegheny,LIBERTY BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,2756,,,,11-25-1991,200.0,OTHER,,,0,900,900,0,0,900,900,0,900,900,,,,,,,,,,,,,,,,,,
RESERVE ST,PITTSBURGH,15209,Millvale  ,Shaler Area,83802,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,326700,,,11-14-2016,11-10-2016,12700.0,TIME ON MARKET,10-01-1867,0.0,0,36000,36000,0,0,36000,36000,0,36000,36000,,,,,,,,,,,,,,,,,,
NORTH AVE,PITTSBURGH,15209,Millvale  ,Shaler Area,RIVER/INDUSTRIAL/MILL,20 - Taxable,REGULAR-ETUX OR ET VIR,COMMERCIAL,SMALL DETACHED RET(UNDER 10000),480,,,06-09-2006,06-09-2006,15000.0,VALID SALE,08-12-1965,0.0,2900,9400,12300,0,2900,9400,12300,2900,9400,12300,,,,,,,,,,,,,,,,,,
EVERGREEN AVE,PITTSBURGH,15209,Millvale  ,Shaler Area,83802,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1944,HOM,,,03-04-1968,0.0,NOT APPLICABLE,,,9800,9700,19500,0,27800,9700,37500,27800,9700,37500,OLD STYLE,3.0,1900.0,Frame,ROLL,Full,D,BELOW AVERAGE,4.0,FAIR,FAIR,8.0,3.0,1.0,1.0,Central Heat,0.0,0.0
BROWNSVILLE RD,PITTSBURGH,15210,Mt. Oliver  ,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,COMMERCIAL,MUNICIPAL GOVERNMENT,3600,,,,09-15-1980,0.0,LOVE&AFFECTION,,,351400,15500,366900,0,351400,15500,366900,351400,15500,366900,,,,,,,,,,,,,,,,,,
MOYE PL,PITTSBURGH,15210,Mt. Oliver  ,City Of Pittsburgh,83901,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2599,,,,01-21-1997,1.0,LOVE&AFFECTION,,,27100,13700,40800,0,27100,13700,40800,27100,13700,40800,OLD STYLE,2.0,1890.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
CARL ST,PITTSBURGH,15210,Mt. Oliver  ,City Of Pittsburgh,83901,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2813,HOM,,12-02-2010,12-02-2010,18000.0,OTHER,09-22-1956,0.0,0,0,0,0,800,14100,14900,800,14100,14900,OLD STYLE,2.0,1901.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,5.0,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
ORMSBY AVE,PITTSBURGH,15210,Mt. Oliver  ,City Of Pittsburgh,83901,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3040,,,04-29-2008,04-29-2008,12500.0,OTHER VALID,02-11-2008,2383.0,23500,14500,38000,0,23500,14500,38000,23500,14500,38000,OLD STYLE,2.0,1890.0,Frame,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,FAIR,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
E 18TH AVE,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,3300,,,,08-30-1941,0.0,NOT APPLICABLE,,,0,11600,11600,0,0,11600,11600,0,11600,11600,,,,,,,,,,,,,,,,,,
E OLIVER RD,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5040,HOM,,08-31-2010,08-31-2010,99000.0,VALID SALE,08-20-1979,39500.0,57000,18000,75000,0,75000,18000,93000,75000,18000,93000,OLD STYLE,2.0,1930.0,Brick,SHINGLE,Full,C,AVERAGE,2.0,GOOD,GOOD,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0.0
WAYNE RD,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,11500,HOM,,,06-26-2000,1.0,LOVE&AFFECTION,01-25-1979,53500.0,39300,18600,57900,0,57300,18600,75900,57300,18600,75900,RANCH,1.0,1951.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1.0
CRAWFORD AVE,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,8400,HOM,,12-30-2016,12-23-2016,71000.0,QUIT CLAIM / SPEC WARRNTY,04-24-2000,0.0,18700,18300,37000,0,36700,18300,55000,36700,18300,55000,OLD STYLE,2.0,1920.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
SUPERIOR ST,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5000,HOM,,,09-24-1997,0.0,OTHER,,,11300,18000,29300,0,29300,18000,47300,29300,18000,47300,BUNGALOW,1.0,1928.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
E 10TH AVE,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2750,,,12-20-2016,12-14-2016,31500.0,CORRECTN / DUP,10-04-2016,3499.0,21400,10900,32300,0,21400,10900,32300,21400,10900,32300,OLD STYLE,2.0,1925.0,Brick,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
OLD WHITAKER WAY,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5650,,,10-05-2005,10-05-2005,4500.0,OTHER,01-16-2004,2500.0,23100,14100,37200,0,23100,14100,37200,23100,14100,37200,COLONIAL,2.0,1925.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Electric,0.0,0.0
ORRIS ST,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3797,,,,01-13-1995,1.0,LOVE&AFFECTION,,,24000,7100,31100,0,24000,7100,31100,24000,7100,31100,SEMI DETACHED,2.0,1945.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
E LARKSPUR ST,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3771,,,07-22-2005,07-22-2005,25000.0,VALID SALE,05-11-2005,3268.0,22100,7100,29200,0,22100,7100,29200,22100,7100,29200,SEMI DETACHED,2.0,1945.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
RAVINE ST,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,3960,,,04-29-2005,04-29-2005,29318.0,VALID SALE,08-12-2004,8000.0,5800,12500,18300,0,5800,12500,18300,5800,12500,18300,OLD STYLE,2.0,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,POOR,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
MCWHINNEY ST,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,250,,,11-28-2007,11-28-2007,1.0,LOVE&AFFECTION,04-25-1977,1.0,0,500,500,0,0,500,500,0,500,500,,,,,,,,,,,,,,,,,,
VALEWOOD DR,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,8320,HOM,,,09-02-1959,0.0,NOT APPLICABLE,,,55100,18300,73400,0,73100,18300,91400,73100,18300,91400,RANCH,1.0,1960.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,1.0
FRANK ST,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84202,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,3276,,,,12-31-1979,8500.0,VALID SALE,,,0,900,900,0,0,900,900,0,900,900,,,,,,,,,,,,,,,,,,
OWEN ST,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84201,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6043,,,12-07-2009,12-07-2009,12000.0,PREV FORECLOSE,09-18-2008,51000.0,12100,5900,18000,0,12100,5900,18000,12100,5900,18000,OLD STYLE,2.0,1920.0,Frame,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,1.0,Wall Furnace,0.0,0.0
CHURCH AVE,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84202,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,6277,,,08-11-2016,07-28-2016,38000.0,VALID SALE,08-28-2009,32900.0,27000,8100,35100,0,27000,8100,35100,27000,8100,35100,OLD STYLE,2.5,1920.0,Brick,SLATE,Full,D-,BELOW AVERAGE -,4.0,FAIR,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
SARAH ST,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84201,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2700,,,,04-21-1999,1.0,LOVE&AFFECTION,12-13-1977,0.0,52900,9200,62100,0,52900,9200,62100,52900,9200,62100,OLD STYLE,2.0,1925.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,0.0
ISLAND AVE,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84202,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,5000,,,,08-06-1985,1.0,LOVE&AFFECTION,,,0,8000,8000,0,0,8000,8000,0,8000,8000,,,,,,,,,,,,,,,,,,
ROBINSON ST,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84202,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1253,,,05-27-2004,05-27-2004,45000.0,MULTI-PARCEL SA,04-18-2001,83700.0,18500,3000,21500,0,18500,3000,21500,18500,3000,21500,SEMI DETACHED,2.0,1922.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,3.0,AVERAGE,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
MUNSON AVE,MC KEES ROCKS,15136,McKees Rocks  ,Sto-Rox,84203,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,554,,,,03-29-1995,8250.0,OTHER,,,26200,2800,29000,0,26200,2800,29000,26200,2800,29000,SEMI DETACHED,2.0,1900.0,Brick,ROLL,Full,D,BELOW AVERAGE,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
